b,AvgB,Th,AvgL,AvgTime
3,0,1,3.0,2.3336
3,0,1,4.0,2.36995
3,0,1,5.0,2.20264
3,0,1,6.0,2.43173333333
3,0,1,7.0,2.56825714286
3,0,1,8.0,2.672775
3,0,1,9.0,2.78242222222
3,0,1,10.0,2.7512
3,0,1,11.0,2.63212727273
3,0,1,12.0,2.53985
3,0,1,13.0,2.46001538462
3,0,1,14.0,2.395
3,0,1,15.0,2.47482666667
3,0,1,16.0,2.5404375
3,0,1,17.0,2.59984705882
3,0,1,18.0,2.62323333333
3,0,1,19.0,2.66576842105
3,0,1,20.0,2.72153
3,0,1,21.0,2.76716190476
3,0,1,22.0,2.80970909091
3,0,1,23.0,2.81876521739
3,0,1,24.0,2.852275
3,0,1,25.0,2.890984
3,0,1,26.0,2.91266923077
3,0,1,27.0,2.92700740741
3,0,1,28.0,2.90945
3,0,1,29.0,2.86167586207
3,0,1,30.0,2.81583333333
3,0,1,31.0,2.77546451613
3,0,1,32.0,2.73400625
3,0,1,33.0,2.69484848485
3,0,1,34.0,2.66246470588
3,0,1,35.0,2.62555428571
3,0,1,36.0,2.60241111111
3,0,1,37.0,2.56248648649
3,0,1,38.0,2.54112105263
3,0,1,39.0,2.50866153846
3,0,1,40.0,2.48432
3,0,1,41.0,2.46265853659
3,0,1,42.0,2.48423333333
3,0,1,43.0,2.51595348837
3,0,1,44.0,2.53022727273
3,0,1,45.0,2.56018666667
3,0,1,46.0,2.55600434783
3,0,1,47.0,2.58269361702
3,0,1,48.0,2.6055125
3,0,1,49.0,2.62253469388
3,0,1,50.0,2.633944
3,0,1,51.0,2.6726745098
3,0,1,52.0,2.69299230769
3,0,1,53.0,2.69113207547
3,0,1,54.0,2.73371111111
3,0,1,55.0,2.71706545455
3,0,1,56.0,2.71680714286
3,0,1,57.0,2.73985964912
3,0,1,58.0,2.76677586207
3,0,1,59.0,2.78477966102
3,0,1,60.0,2.79651333333
3,0,1,61.0,2.80089180328
3,0,1,62.0,2.81846774194
3,0,1,63.0,2.82177142857
3,0,2,3.0,3.3336
3,0,2,4.0,3.85995
3,0,2,5.0,3.99404
3,0,2,6.0,3.92813333333
3,0,2,7.0,3.86045714286
3,0,2,8.0,3.808775
3,0,2,9.0,3.78242222222
3,0,2,10.0,3.9542
3,0,2,11.0,4.08232727273
3,0,2,12.0,4.20465
3,0,2,13.0,4.30581538462
3,0,2,14.0,4.325
3,0,2,15.0,4.27322666667
3,0,2,16.0,4.2176375
3,0,2,17.0,4.17824705882
3,0,2,18.0,4.13143333333
3,0,2,19.0,4.09496842105
3,0,2,20.0,4.07053
3,0,2,21.0,4.05436190476
3,0,2,22.0,4.02650909091
3,0,2,23.0,3.99216521739
3,0,2,24.0,3.976075
3,0,2,25.0,3.965984
3,0,2,26.0,3.94966923077
3,0,2,27.0,3.92700740741
3,0,2,28.0,3.98125
3,0,2,29.0,4.03207586207
3,0,2,30.0,4.08803333333
3,0,2,31.0,4.12966451613
3,0,2,32.0,4.16300625
3,0,2,33.0,4.20624848485
3,0,2,34.0,4.25266470588
3,0,2,35.0,4.27735428571
3,0,2,36.0,4.33741111111
3,0,2,37.0,4.34008648649
3,0,2,38.0,4.37992105263
3,0,2,39.0,4.39706153846
3,0,2,40.0,4.43212
3,0,2,41.0,4.43745853659
3,0,2,42.0,4.41263333333
3,0,2,43.0,4.39415348837
3,0,2,44.0,4.37182727273
3,0,2,45.0,4.35678666667
3,0,2,46.0,4.32880434783
3,0,2,47.0,4.31369361702
3,0,2,48.0,4.2989125
3,0,2,49.0,4.28253469388
3,0,2,50.0,4.260144
3,0,2,51.0,4.2578745098
3,0,2,52.0,4.24419230769
3,0,2,53.0,4.22193207547
3,0,2,54.0,4.22111111111
3,0,2,55.0,4.19366545455
3,0,2,56.0,4.18160714286
3,0,2,57.0,4.17045964912
3,0,2,58.0,4.16157586207
3,0,2,59.0,4.15597966102
3,0,2,60.0,4.14451333333
3,0,2,61.0,4.12549180328
3,0,2,62.0,4.11786774194
3,0,2,63.0,4.10877142857
3,0,4,3.0,6.0006
3,0,4,4.0,6.11455
3,0,4,5.0,5.99404
3,0,4,6.0,5.92813333333
3,0,4,7.0,6.42985714286
3,0,4,8.0,6.557775
3,0,4,9.0,6.67402222222
3,0,4,10.0,6.6488
3,0,4,11.0,6.53892727273
3,0,4,12.0,6.45825
3,0,4,13.0,6.38441538462
3,0,4,14.0,6.325
3,0,4,15.0,6.27322666667
3,0,4,16.0,6.2176375
3,0,4,17.0,6.17824705882
3,0,4,18.0,6.13143333333
3,0,4,19.0,6.34456842105
3,0,4,20.0,6.61713
3,0,4,21.0,6.82316190476
3,0,4,22.0,6.93630909091
3,0,4,23.0,6.90056521739
3,0,4,24.0,6.895675
3,0,4,25.0,6.886584
3,0,4,26.0,6.87446923077
3,0,4,27.0,6.89180740741
3,0,4,28.0,6.87725
3,0,4,29.0,6.82387586207
3,0,4,30.0,6.78363333333
3,0,4,31.0,6.74046451613
3,0,4,32.0,6.70020625
3,0,4,33.0,6.66584848485
3,0,4,34.0,6.63306470588
3,0,4,35.0,6.59375428571
3,0,4,36.0,6.57621111111
3,0,4,37.0,6.53428648649
3,0,4,38.0,6.51292105263
3,0,4,39.0,6.48386153846
3,0,4,40.0,6.45812
3,0,4,41.0,6.43745853659
3,0,4,42.0,6.41263333333
3,0,4,43.0,6.39415348837
3,0,4,44.0,6.37182727273
3,0,4,45.0,6.35678666667
3,0,4,46.0,6.32880434783
3,0,4,47.0,6.31369361702
3,0,4,48.0,6.2989125
3,0,4,49.0,6.28253469388
3,0,4,50.0,6.260144
3,0,4,51.0,6.2578745098
3,0,4,52.0,6.24419230769
3,0,4,53.0,6.22193207547
3,0,4,54.0,6.22111111111
3,0,4,55.0,6.28226545455
3,0,4,56.0,6.37460714286
3,0,4,57.0,6.45765964912
3,0,4,58.0,6.55737586207
3,0,4,59.0,6.64857966102
3,0,4,60.0,6.72891333333
3,0,4,61.0,6.77849180328
3,0,4,62.0,6.86326774194
3,0,4,63.0,6.92837142857
3,3,1,3.0,1.33313333333
3,3,1,4.0,1.35537142857
3,3,1,5.0,1.371075
3,3,1,6.0,1.61573333333
3,3,1,7.0,1.79472
3,3,1,8.0,1.95912727273
3,3,1,9.0,2.08476666667
3,3,1,10.0,2.11236923077
3,3,1,11.0,2.07161428571
3,3,1,12.0,2.03244
3,3,1,13.0,2.002625
3,3,1,14.0,1.97041176471
3,3,1,15.0,2.04266666667
3,3,1,16.0,2.11783157895
3,3,1,17.0,2.1948
3,3,1,18.0,2.27026666667
3,3,1,19.0,2.32448181818
3,3,1,20.0,2.35103478261
3,3,1,21.0,2.41770833333
3,3,1,22.0,2.473128
3,3,1,23.0,2.51271538462
3,3,1,24.0,2.5375037037
3,3,1,25.0,2.56825714286
3,3,1,26.0,2.60495172414
3,3,1,27.0,2.63125333333
3,3,1,28.0,2.63590967742
3,3,1,29.0,2.59414375
3,3,1,30.0,2.55607272727
3,3,1,31.0,2.53180588235
3,3,1,32.0,2.49488
3,3,1,33.0,2.47693333333
3,3,1,34.0,2.44346486486
3,3,1,35.0,2.42284736842
3,3,1,36.0,2.4016974359
3,3,1,37.0,2.37146
3,3,1,38.0,2.35380487805
3,3,1,39.0,2.33316666667
3,3,1,40.0,2.31629302326
3,3,1,41.0,2.29084545455
3,3,1,42.0,2.32351555556
3,3,1,43.0,2.34042608696
3,3,1,44.0,2.37255744681
3,3,1,45.0,2.39624166667
3,3,1,46.0,2.4160122449
3,3,1,47.0,2.424352
3,3,1,48.0,2.47269803922
3,3,1,49.0,2.48961538462
3,3,1,50.0,2.49986037736
3,3,1,51.0,2.53943703704
3,3,1,52.0,2.53240727273
3,3,1,53.0,2.53761071429
3,3,1,54.0,2.56327368421
3,3,1,55.0,2.58351724138
3,3,1,56.0,2.61121016949
3,3,1,57.0,2.61436
3,3,1,58.0,2.63710163934
3,3,1,59.0,2.64771290323
3,3,1,60.0,2.65555555556
3,3,1,61.0,2.667490625
3,3,1,62.0,2.68253538462
3,3,1,63.0,2.70101515152
3,3,2,3.0,1.83313333333
3,3,2,4.0,2.20942857143
3,3,2,5.0,2.49745
3,3,2,6.0,2.614
3,3,2,7.0,2.69436
3,3,2,8.0,2.77876363636
3,3,2,9.0,2.83476666667
3,3,2,10.0,3.03190769231
3,3,2,11.0,3.21608571429
3,3,2,12.0,3.36492
3,3,2,13.0,3.5075375
3,3,2,14.0,3.56147058824
3,3,2,15.0,3.551
3,3,2,16.0,3.54738947368
3,3,2,17.0,3.54732
3,3,2,18.0,3.55272380952
3,3,2,19.0,3.5486
3,3,2,20.0,3.53451304348
3,3,2,21.0,3.53980833333
3,3,2,22.0,3.544792
3,3,2,23.0,3.54205384615
3,3,2,24.0,3.53928148148
3,3,2,25.0,3.53593571429
3,3,2,26.0,3.53413793103
3,3,2,27.0,3.53125333333
3,3,2,28.0,3.6076
3,3,2,29.0,3.658625
3,3,2,30.0,3.69898181818
3,3,2,31.0,3.77071176471
3,3,2,32.0,3.79993142857
3,3,2,33.0,3.87485
3,3,2,34.0,3.90087027027
3,3,2,35.0,3.95271578947
3,3,2,36.0,3.99234358974
3,3,2,37.0,4.02055
3,3,2,38.0,4.06250731707
3,3,2,39.0,4.10042380952
3,3,2,40.0,4.13043255814
3,3,2,41.0,4.12969545455
3,3,2,42.0,4.12522222222
3,3,2,43.0,4.10903478261
3,3,2,44.0,4.09585957447
3,3,2,45.0,4.08280416667
3,3,2,46.0,4.06900816327
3,3,2,47.0,4.05544
3,3,2,48.0,4.05180392157
3,3,2,49.0,4.04291538462
3,3,2,50.0,4.03118113208
3,3,2,51.0,4.02429259259
3,3,2,52.0,4.00674909091
3,3,2,53.0,3.99189285714
3,3,2,54.0,3.98735789474
3,3,2,55.0,3.98146551724
3,3,2,56.0,3.9778
3,3,2,57.0,3.96488
3,3,2,58.0,3.96045245902
3,3,2,59.0,3.9508516129
3,3,2,60.0,3.93955555556
3,3,2,61.0,3.935528125
3,3,2,62.0,3.92940307692
3,3,2,63.0,3.92607878788
3,3,4,3.0,3.16423333333
3,3,4,4.0,3.4996
3,3,4,5.0,3.74745
3,3,4,6.0,3.94733333333
3,3,4,7.0,4.49098
3,3,4,8.0,4.77250909091
3,3,4,9.0,5.00121666667
3,3,4,10.0,5.1096
3,3,4,11.0,5.14595714286
3,3,4,12.0,5.16444
3,3,4,13.0,5.19315
3,3,4,14.0,5.20852941176
3,3,4,15.0,5.21766666667
3,3,4,16.0,5.2316
3,3,4,17.0,5.24732
3,3,4,18.0,5.26700952381
3,3,4,19.0,5.50387272727
3,3,4,20.0,5.73990434783
3,3,4,21.0,5.95585833333
3,3,4,22.0,6.105064
3,3,4,23.0,6.12159230769
3,3,4,24.0,6.13768148148
3,3,4,25.0,6.14986428571
3,3,4,26.0,6.15816551724
3,3,4,27.0,6.19687333333
3,3,4,28.0,6.21449032258
3,3,4,29.0,6.18651875
3,3,4,30.0,6.16243636364
3,3,4,31.0,6.14895882353
3,3,4,32.0,6.12130285714
3,3,4,33.0,6.11481666667
3,3,4,34.0,6.09837297297
3,3,4,35.0,6.08053157895
3,3,4,36.0,6.07018974359
3,3,4,37.0,6.04667
3,3,4,38.0,6.03405853659
3,3,4,39.0,6.02832380952
3,3,4,40.0,6.01378139535
3,3,4,41.0,5.99333181818
3,3,4,42.0,5.99188888889
3,3,4,43.0,5.9786
3,3,4,44.0,5.9682
3,3,4,45.0,5.95780416667
3,3,4,46.0,5.94655918367
3,3,4,47.0,5.93544
3,3,4,48.0,5.93415686275
3,3,4,49.0,5.92753076923
3,3,4,50.0,5.91797358491
3,3,4,51.0,5.91318148148
3,3,4,52.0,5.89765818182
3,3,4,53.0,5.88475
3,3,4,54.0,5.88209473684
3,3,4,55.0,5.96013793103
3,3,4,56.0,6.05815254237
3,3,4,57.0,6.14285
3,3,4,58.0,6.24127868852
3,3,4,59.0,6.3207483871
3,3,4,60.0,6.40355555556
3,3,4,61.0,6.463978125
3,3,4,62.0,6.54828307692
3,3,4,63.0,6.62801515152
3,7,1,3.0,1.4038
3,7,1,4.0,1.41587272727
3,7,1,5.0,1.50731666667
3,7,1,6.0,1.60558461538
3,7,1,7.0,1.64412857143
3,7,1,8.0,1.63228
3,7,1,9.0,1.6276875
3,7,1,10.0,1.61808235294
3,7,1,11.0,1.60754444444
3,7,1,12.0,1.60445263158
3,7,1,13.0,1.59872
3,7,1,14.0,1.59624761905
3,7,1,15.0,1.682
3,7,1,16.0,1.75060869565
3,7,1,17.0,1.832975
3,7,1,18.0,1.909
3,7,1,19.0,1.97262307692
3,7,1,20.0,2.02217777778
3,7,1,21.0,2.05711428571
3,7,1,22.0,2.12466206897
3,7,1,23.0,2.15052666667
3,7,1,24.0,2.21618064516
3,7,1,25.0,2.25168125
3,7,1,26.0,2.28253939394
3,7,1,27.0,2.31881176471
3,7,1,28.0,2.32952571429
3,7,1,29.0,2.30455
3,7,1,30.0,2.28546486486
3,7,1,31.0,2.26737894737
3,7,1,32.0,2.24215384615
3,7,1,33.0,2.22241
3,7,1,34.0,2.20556097561
3,7,1,35.0,2.18813333333
3,7,1,36.0,2.17781860465
3,7,1,37.0,2.15515454545
3,7,1,38.0,2.14693777778
3,7,1,39.0,2.12394347826
3,7,1,40.0,2.11509787234
3,7,1,41.0,2.10286666667
3,7,1,42.0,2.13166530612
3,7,1,43.0,2.153024
3,7,1,44.0,2.19784313725
3,7,1,45.0,2.21305384615
3,7,1,46.0,2.23641509434
3,7,1,47.0,2.27148148148
3,7,1,48.0,2.27937818182
3,7,1,49.0,2.29727142857
3,7,1,50.0,2.31587368421
3,7,1,51.0,2.34417241379
3,7,1,52.0,2.37142033898
3,7,1,53.0,2.37646333333
3,7,1,54.0,2.40204918033
3,7,1,55.0,2.42209032258
3,7,1,56.0,2.43135873016
3,7,1,57.0,2.453390625
3,7,1,58.0,2.46545230769
3,7,1,59.0,2.48768484848
3,7,1,60.0,2.50484477612
3,7,1,61.0,2.51050588235
3,7,1,62.0,2.51944927536
3,7,1,63.0,2.54358857143
3,7,2,3.0,1.80334
3,7,2,4.0,1.88947272727
3,7,2,5.0,1.97323333333
3,7,2,6.0,2.06712307692
3,7,2,7.0,2.14412857143
3,7,2,8.0,2.16561333333
3,7,2,9.0,2.1901875
3,7,2,10.0,2.31808235294
3,7,2,11.0,2.49475555556
3,7,2,12.0,2.65742105263
3,7,2,13.0,2.79888
3,7,2,14.0,2.88304761905
3,7,2,15.0,2.909
3,7,2,16.0,2.93224347826
3,7,2,17.0,2.96021666667
3,7,2,18.0,2.98252
3,7,2,19.0,3.00315384615
3,7,2,20.0,3.0204
3,7,2,21.0,3.03076428571
3,7,2,22.0,3.05033103448
3,7,2,23.0,3.05841333333
3,7,2,24.0,3.0840516129
3,7,2,25.0,3.09418125
3,7,2,26.0,3.10240606061
3,7,2,27.0,3.11292941176
3,7,2,28.0,3.18888571429
3,7,2,29.0,3.24189444444
3,7,2,30.0,3.31811351351
3,7,2,31.0,3.37407894737
3,7,2,32.0,3.41975384615
3,7,2,33.0,3.471295
3,7,2,34.0,3.51779512195
3,7,2,35.0,3.55796666667
3,7,2,36.0,3.6226744186
3,7,2,37.0,3.65180454545
3,7,2,38.0,3.70105333333
3,7,2,39.0,3.72582608696
3,7,2,40.0,3.77092765957
3,7,2,41.0,3.78386666667
3,7,2,42.0,3.77909387755
3,7,2,43.0,3.778252
3,7,2,44.0,3.77632156863
3,7,2,45.0,3.77213076923
3,7,2,46.0,3.76205283019
3,7,2,47.0,3.76364444444
3,7,2,48.0,3.75201818182
3,7,2,49.0,3.74644642857
3,7,2,50.0,3.74166315789
3,7,2,51.0,3.74104482759
3,7,2,52.0,3.73646440678
3,7,2,53.0,3.72990666667
3,7,2,54.0,3.7288557377
3,7,2,55.0,3.7282516129
3,7,2,56.0,3.71633650794
3,7,2,57.0,3.71968125
3,7,2,58.0,3.71307692308
3,7,2,59.0,3.71095151515
3,7,2,60.0,3.7121880597
3,7,2,61.0,3.70341470588
3,7,2,62.0,3.69655072464
3,7,2,63.0,3.70134857143
3,7,4,3.0,2.40334
3,7,4,4.0,2.61674545455
3,7,4,5.0,2.80656666667
3,7,4,6.0,3.14527692308
3,7,4,7.0,3.57492857143
3,7,4,8.0,3.69574666667
3,7,4,9.0,3.8169375
3,7,4,10.0,3.90878823529
3,7,4,11.0,4.00065555556
3,7,4,12.0,4.07809473684
3,7,4,13.0,4.15153
3,7,4,14.0,4.21638095238
3,7,4,15.0,4.27263636364
3,7,4,16.0,4.32354782609
3,7,4,17.0,4.37688333333
3,7,4,18.0,4.42252
3,7,4,19.0,4.65907692308
3,7,4,20.0,4.91551111111
3,7,4,21.0,5.09206428571
3,7,4,22.0,5.25442758621
3,7,4,23.0,5.29002666667
3,7,4,24.0,5.34376774194
3,7,4,25.0,5.3755875
3,7,4,26.0,5.3986
3,7,4,27.0,5.4632
3,7,4,28.0,5.50056571429
3,7,4,29.0,5.49809444444
3,7,4,30.0,5.50357297297
3,7,4,31.0,5.50573684211
3,7,4,32.0,5.49696410256
3,7,4,33.0,5.500465
3,7,4,34.0,5.49858536585
3,7,4,35.0,5.49546666667
3,7,4,36.0,5.50371627907
3,7,4,37.0,5.49474090909
3,7,4,38.0,5.50292888889
3,7,4,39.0,5.49066086957
3,7,4,40.0,5.49535319149
3,7,4,41.0,5.4922
3,7,4,42.0,5.49337959184
3,7,4,43.0,5.498252
3,7,4,44.0,5.50181176471
3,7,4,45.0,5.5029
3,7,4,46.0,5.49790188679
3,7,4,47.0,5.50438518519
3,7,4,48.0,5.49747272727
3,7,4,49.0,5.49644642857
3,7,4,50.0,5.49604912281
3,7,4,51.0,5.49966551724
3,7,4,52.0,5.49917627119
3,7,4,53.0,5.49657333333
3,7,4,54.0,5.49934754098
3,7,4,55.0,5.5833483871
3,7,4,56.0,5.66318095238
3,7,4,57.0,5.7649125
3,7,4,58.0,5.84872615385
3,7,4,59.0,5.94097272727
3,7,4,60.0,6.03105373134
3,7,4,61.0,6.08151764706
3,7,4,62.0,6.15390724638
3,7,4,63.0,6.23862857143
4,0,1,3.0,1.9994
4,0,1,4.0,2.36915
4,0,1,5.0,2.40324
4,0,1,6.0,2.25133333333
4,0,1,7.0,2.15125714286
4,0,1,8.0,2.067375
4,0,1,9.0,2.10762222222
4,0,1,10.0,2.2574
4,0,1,11.0,2.37712727273
4,0,1,12.0,2.45505
4,0,1,13.0,2.54941538462
4,0,1,14.0,2.6154
4,0,1,15.0,2.66242666667
4,0,1,16.0,2.7188375
4,0,1,17.0,2.69624705882
4,0,1,18.0,2.64143333333
4,0,1,19.0,2.58056842105
4,0,1,20.0,2.52553
4,0,1,21.0,2.48136190476
4,0,1,22.0,2.42670909091
4,0,1,23.0,2.39716521739
4,0,1,24.0,2.354675
4,0,1,25.0,2.317184
4,0,1,26.0,2.28706923077
4,0,1,27.0,2.25480740741
4,0,1,28.0,2.23605
4,0,1,29.0,2.20667586207
4,0,1,30.0,2.18663333333
4,0,1,31.0,2.16206451613
4,0,1,32.0,2.14240625
4,0,1,33.0,2.15604848485
4,0,1,34.0,2.19266470588
4,0,1,35.0,2.22995428571
4,0,1,36.0,2.26461111111
4,0,1,37.0,2.29708648649
4,0,1,38.0,2.30972105263
4,0,1,39.0,2.36426153846
4,0,1,40.0,2.37372
4,0,1,41.0,2.42685853659
4,0,1,42.0,2.45763333333
4,0,1,43.0,2.46775348837
4,0,1,44.0,2.49702727273
4,0,1,45.0,2.49978666667
4,0,1,46.0,2.54060434783
4,0,1,47.0,2.57069361702
4,0,1,48.0,2.5905125
4,0,1,49.0,2.60873469388
4,0,1,50.0,2.609144
4,0,1,51.0,2.6252745098
4,0,1,52.0,2.64559230769
4,0,1,53.0,2.66793207547
4,0,1,54.0,2.66831111111
4,0,1,55.0,2.68726545455
4,0,1,56.0,2.71900714286
4,0,1,57.0,2.71465964912
4,0,1,58.0,2.74577586207
4,0,1,59.0,2.74517966102
4,0,1,60.0,2.76271333333
4,0,1,61.0,2.77229180328
4,0,1,62.0,2.78786774194
4,0,1,63.0,2.79817142857
4,0,2,3.0,3.3324
4,0,2,4.0,3.36915
4,0,2,5.0,3.40324
4,0,2,6.0,3.41533333333
4,0,2,7.0,3.73465714286
4,0,2,8.0,3.944775
4,0,2,9.0,3.89042222222
4,0,2,10.0,3.8524
4,0,2,11.0,3.82532727273
4,0,2,12.0,3.79445
4,0,2,13.0,3.77761538462
4,0,2,14.0,3.7586
4,0,2,15.0,3.73542666667
4,0,2,16.0,3.7188375
4,0,2,17.0,3.69624705882
4,0,2,18.0,3.64143333333
4,0,2,19.0,3.58056842105
4,0,2,20.0,3.52553
4,0,2,21.0,3.48136190476
4,0,2,22.0,3.47050909091
4,0,2,23.0,3.58316521739
4,0,2,24.0,3.651275
4,0,2,25.0,3.710384
4,0,2,26.0,3.78306923077
4,0,2,27.0,3.84240740741
4,0,2,28.0,3.91885
4,0,2,29.0,3.96747586207
4,0,2,30.0,4.02403333333
4,0,2,31.0,4.06966451613
4,0,2,32.0,4.11060625
4,0,2,33.0,4.09304848485
4,0,2,34.0,4.07506470588
4,0,2,35.0,4.05975428571
4,0,2,36.0,4.03981111111
4,0,2,37.0,4.02748648649
4,0,2,38.0,4.00752105263
4,0,2,39.0,4.00686153846
4,0,2,40.0,3.98252
4,0,2,41.0,3.98285853659
4,0,2,42.0,3.97263333333
4,0,2,43.0,3.95635348837
4,0,2,44.0,3.94542727273
4,0,2,45.0,3.92758666667
4,0,2,46.0,3.92080434783
4,0,2,47.0,3.92189361702
4,0,2,48.0,3.9121125
4,0,2,49.0,3.90413469388
4,0,2,50.0,3.891544
4,0,2,51.0,3.8762745098
